symbol,name,reason
زقيام,كشت و دام قيام اصفهان,no_signals_or_low_gain
دكپسول,توليد ژلاتين كپسول ايران,no_signals_or_low_gain
خپارس,پارس خودرو,no_signals_or_low_gain
ضستا1051,اختيارخ شستا-1310-1404/10/10,no_signals_or_low_gain
كماسه,تامين‌ ماسه‌ ريخته‌گري‌,no_signals_or_low_gain
بفجر2,فجر انرژي خليج فارس,no_signals_or_low_gain
ونيكي,سرمايه‌گذاري‌ ملي‌ايران‌,no_signals_or_low_gain
ثتوسا,س.توسعه و عمران استان اردبيل,no_signals_or_low_gain
زمرد كوروش4,صندوق س زمرد كوروش-ثابت,blacklist_name
دي سهام,صندوق س.دي سهام-سهام,blacklist_name
نمك,صندوق س.بخشي گستره فيروزه3	-ب,blacklist_name
هم تراز,صندوق س شاخصي هم وزن تراز-سهام,blacklist_name
وشهر,بانك شهر,no_signals_or_low_gain
انرژي,بورس انرژي ايران,no_signals_or_low_gain
سرچشمه,سرمايه گذاري مس سرچشمه,no_signals_or_low_gain
گنجينه,صندوق س. گنجينه داريوش-د,blacklist_name
درنا,صندوق س.پشتوانه طلاي درنا,blacklist_name
وآيند,بانك  آينده,no_signals_or_low_gain
حآفرين,ريل پرداز نو آفرين,no_signals_or_low_gain
وبانك,سرمايه گذاري گروه توسعه ملي,no_signals_or_low_gain
صايند,صندوق س. گنجينه آينده روشن-د,blacklist_name
پاكشو,گروه صنعتي پاكشو,no_signals_or_low_gain
فخوز,فولاد  خوزستان,no_signals_or_low_gain
ميهن,بيمه ميهن,no_signals_or_low_gain
خصدرا,صنعتي‌ دريايي‌ ايران‌,no_signals_or_low_gain
فطلوع,طلوع فولاد پارس,no_signals_or_low_gain
سيمانو,صندوق س صنايع مفيد3- بخشي,blacklist_name
كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,no_signals_or_low_gain
زفارس,كشت وصنعت و دامپروري پگاه فارس,no_signals_or_low_gain
فاسمين,كالسيمين‌,no_signals_or_low_gain
كخاك,صنايع‌خاك‌چيني‌ايران‌,no_signals_or_low_gain
زبينا,كشاورزي و دامپروري بينالود,no_signals_or_low_gain
آتيه ملت,صندوق س آتيه ملت-ثابت,blacklist_name
بالبر,كابل‌ البرز,no_signals_or_low_gain
تسه1403,امتياز تسهيلات مسكن سال1403,blacklist_name
غزر,صنعتي زر ماكارون,no_signals_or_low_gain
ثاخت,بين‌المللي‌توسعه‌ساختمان,no_signals_or_low_gain
شفارس,صنايع‌ شيميايي‌ فارس‌,no_signals_or_low_gain
شپاكسا,پاكسان‌,no_signals_or_low_gain
ضهرم1025,اختيارخ اهرم-26000-1404/10/24,no_signals_or_low_gain
سقاين,سيمان‌ قائن‌,no_signals_or_low_gain
ساروم,سيمان‌اروميه‌,no_signals_or_low_gain
ميدكو,توسعه معادن وص.معدني خاورميانه,no_signals_or_low_gain
وصنا,گروه‌صنايع‌بهشهرايران‌,no_signals_or_low_gain
شاروم,پتروشيمي اروميه,no_signals_or_low_gain
شگويا,پتروشيمي تندگويان,no_signals_or_low_gain
دارا,صندوق س. دارا الگوريتم-د,blacklist_name
زفجر,كشاورزي و دامپروري فجر اصفهان,no_signals_or_low_gain
فسوژ,سوژميران,no_signals_or_low_gain
غديس,پاكديس,no_signals_or_low_gain
شگستر,گسترش سوخت سبززاگرس(سهامي عام),no_signals_or_low_gain
حفارس,حمل و نقل بين المللي خليج فارس,no_signals_or_low_gain
فولاي,صنايع فولاد آلياژي يزد,no_signals_or_low_gain
ضملت1008,اختيارخ وبملت-1200-1404/10/17,no_signals_or_low_gain
طهرم1125,اختيارف اهرم-30000-1404/11/29,no_signals_or_low_gain
امين يكم,صندوق درآمد ثابت امين يكم فردا,blacklist_name
چدن,توليدي چدن سازان,no_signals_or_low_gain
ثمسكن,سرمايه‌گذاري‌ مسكن‌,no_signals_or_low_gain
معدن,صندوق س صنايع مفيد6- بخشي,blacklist_name
غاذر,كشت‌وصنعت‌پياذر,no_signals_or_low_gain
ثشاهد,سرمايه‌ گذاري‌ شاهد,no_signals_or_low_gain
حبندر,دريايي و کشتيراني خط دريابندر,no_signals_or_low_gain
خودكفا,اقتصادي و خودكفايي آزادگان,no_signals_or_low_gain
ضصاد1166,اختيارخ وبصادر-550-1404/11/21,no_signals_or_low_gain
بترانسح,ح . ايران‌ ترانسفو,no_signals_or_low_gain
ضسپا9015,اختيارخ خساپا-500-1404/09/26,no_signals_or_low_gain
آريا,پليمر آريا ساسول,no_signals_or_low_gain
دسينا,داروسازي‌ سينا,no_signals_or_low_gain
كسعدي,كاشي‌ سعدي‌,no_signals_or_low_gain
واحيا,م .صنايع و معادن احياء سپاهان,no_signals_or_low_gain
دلقما,دارويي‌ لقمان‌,no_signals_or_low_gain
شاوان,پالايش نفت لاوان,no_signals_or_low_gain
بلوط,صندوق س شكوه بامداد زاگرس-ثابت,blacklist_name
استيل,صندوق س صنايع مفيد1- بخشي,blacklist_name
پتوسعه,س. و توسعه صنايع لاستيك,no_signals_or_low_gain
وغدير4,سرمايه‌گذاري‌غدير(هلدينگ‌,no_signals_or_low_gain
كپارس,كاشي‌ پارس‌,no_signals_or_low_gain
شمس,توليد انرژي برق شمس پاسارگاد,no_signals_or_low_gain
فملي2,ملي‌ صنايع‌ مس‌ ايران‌,no_signals_or_low_gain
شهر,گروه مالي شهر,no_signals_or_low_gain
كروميت,توسعه معادن كروميت كاوندگان,no_signals_or_low_gain
بنكر,صندوق س صنايع انديشه صبا2-بخشي,blacklist_name
وسديد,گروه ‌صنعتي‌سديد,no_signals_or_low_gain
شراز,پالايش نفت شيراز,no_signals_or_low_gain
آكام,صندوق س. نوع دوم آكام-د,blacklist_name
خشرق,الكتريك‌ خودرو شرق‌,no_signals_or_low_gain
بنيرو,نيروترانس‌,no_signals_or_low_gain
وكار,بانك‌ كارآفرين‌,no_signals_or_low_gain
گدنا,تهيه توزيع غذاي دنا آفرين فدك,no_signals_or_low_gain
شگل,گلتاش‌,no_signals_or_low_gain
سلام,صندوق س سلام فارابي-سهام,blacklist_name
شبصير,توليدات پتروشيمي قائد بصير,no_signals_or_low_gain
بهپاك,صنعتي بهپاك,no_signals_or_low_gain
